Date,Actual,Strategy_Ret,Weight_RF,Weight_GB,Weight_LSTM,Position,Market_Cum,HDE_Cum
2024-01-29,-0.006194771734669914,-0.006688597959260543,0.5251979856154197,0.39759636562351247,0.0772056487610677,0.8571428571428571,1062.730260109393,1033.5188717694532
2024-01-30,-0.030330181716590344,-0.003194971675047286,0.5340231906514822,0.4003520079016103,0.0656248014469075,0.14285714285714285,1030.4974582045556,1030.216808248523
2024-01-31,0.015349304047618128,0.0034828024569995,0.5314453218400699,0.4127735969300587,0.0557810812298714,0.14285714285714285,1046.3148770108348,1033.804849879533
2024-02-01,0.04974069892189816,0.03605504492186876,0.5274639868907695,0.4251220940638398,0.04741391904539067,0.2857142857142857,1098.3593102857337,1071.0787301823857
2024-02-02,-0.0035155136461718856,0.0008447272713417848,0.5232877389607534,0.4364104298506645,0.040301831188582,0.42857142857142855,1094.4980131420243,1071.9834995955248
2024-02-05,6.549654881604292e-05,-0.004844236219858157,0.519920902075151,0.44582254141455424,0.0342565565102947,0.5714285714285714,1094.5696989845712,1066.7905582996939
2024-02-06,0.01620577041072863,0.0127927456700047,0.5165878051465057,0.4542941218197436,0.0291180730337505,0.7142857142857143,1112.3080442248554,1080.4377385951843
2024-02-07,-0.0003169953306843856,-0.001529538023240543,0.5195659630581771,0.4556836748631348,0.024750362078687898,0.42857142857142855,1111.9554477685533,1078.785167992259
2024-02-08,0.01726898774977893,0.008415089856320971,0.5271067473227247,0.45185544491039054,0.021037807766884704,0.42857142857142855,1131.1577927743685,1087.8632421165798
2024-02-09,-0.009766181939640328,-0.010051896225354615,0.5332802297367122,0.4488376336614358,0.017882136601852,1.0,1120.1106999676922,1076.928153699446
2024-02-12,-0.016100653581739344,-0.016100653581739344,0.5370701875235321,0.4477299963648936,0.0151998161115742,1.0,1102.0761856143126,1059.5889065643091
2024-02-13,0.014699733346282457,0.014699733346282457,0.5378221103649142,0.44925804594024765,0.0129198436948381,1.0,1118.2764116701312,1075.1645809474835
2024-02-14,0.004395259874934229,0.004395259874934229,0.5101747429757341,0.42525840997516723,0.0645668470490987,1.0,1123.1915271114303,1079.8902086890723
2024-02-15,-0.008183985219842057,-0.008183985219842057,0.48581253737824204,0.40460701640687624,0.10958044621488162,1.0,1113.9993442544985,1071.0524031821087
2024-02-16,-0.013589914577009874,-0.013589914577009874,0.4646089103619549,0.38535643633218103,0.150034653305864,1.0,1098.860188327235,1056.4968925153626
2024-02-20,-0.001183781308888557,-0.0027028087270474,0.4461796422524503,0.3675809642133388,0.18623939353421085,0.8571428571428571,1097.5593781752114,1053.6413834941736
2024-02-21,0.04247995314022744,0.03925895348043184,0.430964104247448,0.3532162521298006,0.21581964362275127,0.7142857142857143,1144.1836491287113,1095.006241553829
2024-02-22,-0.005727752805701885,-0.0045614543154785855,0.4172848053015306,0.3472514608303418,0.23546373386812755,0.5714285714285714,1137.6300480221762,1090.0114206078174
