window,decay,threshold,fractional,allow_short,dd_limit,val_sharpe
30,0.9,0.002,False,False,0.15,1.0423589246418634
30,0.9,0.002,False,False,0.2,1.0441641425839563
30,0.95,0.0005,True,True,0.1,-2.5764893961265707
30,0.95,0.0005,True,True,0.15,-1.76586209538641
30,0.95,0.0005,True,True,0.2,-1.372287918019175
30,0.95,0.0005,True,False,0.1,1.469180875782486
30,0.95,0.0005,True,False,0.15,1.4830674934143147
30,0.95,0.0005,True,False,0.2,1.4786812345333358
30,0.95,0.0005,False,True,0.1,-2.2224182590084456
30,0.95,0.0005,False,True,0.15,-1.574950522379009
30,0.95,0.0005,False,True,0.2,-1.1828134796602618
30,0.95,0.0005,False,False,0.1,1.7706759967150498
30,0.95,0.0005,False,False,0.15,1.7714643006955708
30,0.95,0.0005,False,False,0.2,1.7641837957214648
30,0.95,0.001,True,True,0.1,-1.7628983863403265
30,0.95,0.001,True,True,0.15,-1.0804319321363451
30,0.95,0.001,True,True,0.2,-0.9773278028079967
30,0.95,0.001,True,False,0.1,1.1872634644761522
30,0.95,0.001,True,False,0.15,1.1602353007986959
30,0.95,0.001,True,False,0.2,1.1505494921072168
30,0.95,0.001,False,True,0.1,-2.434208467629414
30,0.95,0.001,False,True,0.15,-1.6562583385205538
30,0.95,0.001,False,True,0.2,-1.2073430839488868
30,0.95,0.001,False,False,0.1,1.3828523038163896
30,0.95,0.001,False,False,0.15,1.4033956513362602
30,0.95,0.001,False,False,0.2,1.3665582848589992
30,0.95,0.002,True,True,0.1,-1.2156427573133615
30,0.95,0.002,True,True,0.15,-1.0709114792832235
30,0.95,0.002,True,True,0.2,-1.002872082469165
30,0.95,0.002,True,False,0.1,0.9041800176437506
30,0.95,0.002,True,False,0.15,0.8970098747279178
30,0.95,0.002,True,False,0.2,0.8973589255006191
30,0.95,0.002,False,True,0.1,-2.6274663463827976
30,0.95,0.002,False,True,0.15,-2.132807315431306
30,0.95,0.002,False,True,0.2,-1.7416602344813805
30,0.95,0.002,False,False,0.1,0.9744305267055691
30,0.95,0.002,False,False,0.15,1.0594929061403415
30,0.95,0.002,False,False,0.2,1.0702300988410847
30,1.0,0.0005,True,True,0.1,-2.4192792482680807
30,1.0,0.0005,True,True,0.15,-1.442142641220826
30,1.0,0.0005,True,True,0.2,-0.8557284009093177
30,1.0,0.0005,True,False,0.1,1.6201397399104638
30,1.0,0.0005,True,False,0.15,1.6021499667127852
30,1.0,0.0005,True,False,0.2,1.6093955971630733
30,1.0,0.0005,False,True,0.1,-2.0004171096456327
30,1.0,0.0005,False,True,0.15,-1.427001204985551
30,1.0,0.0005,False,True,0.2,-0.8924976036297638
30,1.0,0.0005,False,False,0.1,1.8383146398531767
30,1.0,0.0005,False,False,0.15,1.8136856762517923
30,1.0,0.0005,False,False,0.2,1.777720263459621
30,1.0,0.001,True,True,0.1,-1.034758134614516
30,1.0,0.001,True,True,0.15,-0.3290892686604739
30,1.0,0.001,True,True,0.2,-0.3426807242919477
30,1.0,0.001,True,False,0.1,1.3851166808580897
30,1.0,0.001,True,False,0.15,1.4019769602165082
30,1.0,0.001,True,False,0.2,1.4200599275745485
30,1.0,0.001,False,True,0.1,-1.9132930259698326
30,1.0,0.001,False,True,0.15,-1.0793159773844812
30,1.0,0.001,False,True,0.2,-0.6120614380314533
30,1.0,0.001,False,False,0.1,1.6511566170962388
30,1.0,0.001,False,False,0.15,1.65161624313159
30,1.0,0.001,False,False,0.2,1.6379920897513742
30,1.0,0.002,True,True,0.1,-0.3887725812481758
30,1.0,0.002,True,True,0.15,-0.47071898523429756
30,1.0,0.002,True,True,0.2,-0.522116611292443
30,1.0,0.002,True,False,0.1,1.1488683898603613
30,1.0,0.002,True,False,0.15,1.1959865827595544
30,1.0,0.002,True,False,0.2,1.197320333784106
30,1.0,0.002,False,True,0.1,-2.5925052084156195
30,1.0,0.002,False,True,0.15,-1.8667287028131643
30,1.0,0.002,False,True,0.2,-1.2086140381541763
30,1.0,0.002,False,False,0.1,1.26083527804869
30,1.0,0.002,False,False,0.15,1.2752366694565354
30,1.0,0.002,False,False,0.2,1.3241183623345665
